,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
34,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.5,100,0.7400016796842194,0.060882874196166746,"(1, 0)-DP",1.0,0
35,"DPOneRule(epsilon = 0.20000000, zeta = 0.00016797)",0.1,0.75,5,0.7264466280339297,0.07146582433837269,"(1, 0)-DP",1.0,0
36,"DPOneRule(epsilon = 0.10000000, zeta = 0.00016797)",0.1,0.75,10,0.820576131687243,0.0201396589469625,"(1, 0)-DP",1.0,0
37,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.75,20,0.8043167884437725,0.022719801410892006,"(1, 0)-DP",1.0,0
38,"DPOneRule(epsilon = 0.02000000, zeta = 0.00016797)",0.1,0.75,50,0.7535399344923154,0.03471450965672854,"(1, 0)-DP",1.0,0
39,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.75,100,0.7470227597211725,0.02402091731150588,"(1, 0)-DP",1.0,0
40,"DPOneRule(epsilon = 0.15000000, zeta = 0.00016797)",0.1,0.1,5,0.7366927017720668,0.05779716028387459,"(0.75, 0)-DP",0.75,0
41,"DPOneRule(epsilon = 0.07500000, zeta = 0.00016797)",0.1,0.1,10,0.7316368522717729,0.05375634042147898,"(0.75, 0)-DP",0.75,0
42,"DPOneRule(epsilon = 0.03750000, zeta = 0.00016797)",0.1,0.1,20,0.7391282438901488,0.04270903572405901,"(0.75, 0)-DP",0.75,0
43,"DPOneRule(epsilon = 0.01500000, zeta = 0.00016797)",0.1,0.1,50,0.7361552028218695,0.04378285004217529,"(0.75, 0)-DP",0.75,0
44,"DPOneRule(epsilon = 0.00750000, zeta = 0.00016797)",0.1,0.1,100,0.6593600403124212,0.04189672547314168,"(0.75, 0)-DP",0.75,0
45,"DPOneRule(epsilon = 0.15000000, zeta = 0.00016797)",0.1,0.25,5,0.7366927017720668,0.05779716028387459,"(0.75, 0)-DP",0.75,0
46,"DPOneRule(epsilon = 0.07500000, zeta = 0.00016797)",0.1,0.25,10,0.728294280675233,0.05234016773671706,"(0.75, 0)-DP",0.75,0
47,"DPOneRule(epsilon = 0.03750000, zeta = 0.00016797)",0.1,0.25,20,0.7621567145376669,0.0411761833529849,"(0.75, 0)-DP",0.75,0
48,"DPOneRule(epsilon = 0.01500000, zeta = 0.00016797)",0.1,0.25,50,0.743461829176115,0.05269695977883822,"(0.75, 0)-DP",0.75,0
49,"DPOneRule(epsilon = 0.00750000, zeta = 0.00016797)",0.1,0.25,100,0.6718065003779289,0.052526182967017554,"(0.75, 0)-DP",0.75,0
50,"DPOneRule(epsilon = 0.15000000, zeta = 0.00016797)",0.1,0.5,5,0.746434870244394,0.048594498231802195,"(0.75, 0)-DP",0.75,0
51,"DPOneRule(epsilon = 0.07500000, zeta = 0.00016797)",0.1,0.5,10,0.7587469555723523,0.046426866826950616,"(0.75, 0)-DP",0.75,0
52,"DPOneRule(epsilon = 0.03750000, zeta = 0.00016797)",0.1,0.5,20,0.795951961031326,0.017367691158619462,"(0.75, 0)-DP",0.75,0
53,"DPOneRule(epsilon = 0.01500000, zeta = 0.00016797)",0.1,0.5,50,0.738909884941631,0.051927714056755586,"(0.75, 0)-DP",0.75,0
54,"DPOneRule(epsilon = 0.00750000, zeta = 0.00016797)",0.1,0.5,100,0.6488956076257664,0.06402972106911549,"(0.75, 0)-DP",0.75,0
55,"DPOneRule(epsilon = 0.15000000, zeta = 0.00016797)",0.1,0.75,5,0.7264466280339297,0.07146582433837269,"(0.75, 0)-DP",0.75,0
56,"DPOneRule(epsilon = 0.07500000, zeta = 0.00016797)",0.1,0.75,10,0.8155202821869489,0.02532808973068716,"(0.75, 0)-DP",0.75,0
57,"DPOneRule(epsilon = 0.03750000, zeta = 0.00016797)",0.1,0.75,20,0.7913832199546486,0.041919076498877994,"(0.75, 0)-DP",0.75,0
58,"DPOneRule(epsilon = 0.01500000, zeta = 0.00016797)",0.1,0.75,50,0.7232552280171327,0.07370837135028868,"(0.75, 0)-DP",0.75,0
59,"DPOneRule(epsilon = 0.00750000, zeta = 0.00016797)",0.1,0.75,100,0.633140169648106,0.06283138071414843,"(0.75, 0)-DP",0.75,0
60,"DPOneRule(epsilon = 0.10000000, zeta = 0.00016797)",0.1,0.1,5,0.7366927017720668,0.05779716028387459,"(0.5, 0)-DP",0.5,0
61,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.1,10,0.7366927017720668,0.05779716028387459,"(0.5, 0)-DP",0.5,0
62,"DPOneRule(epsilon = 0.02500000, zeta = 0.00016797)",0.1,0.1,20,0.7452422944486436,0.06388774702986043,"(0.5, 0)-DP",0.5,0
63,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.1,50,0.707886117409927,0.03970417504939258,"(0.5, 0)-DP",0.5,0
64,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.1,100,0.6469639707734945,0.021219245385480617,"(0.5, 0)-DP",0.5,0
65,"DPOneRule(epsilon = 0.10000000, zeta = 0.00016797)",0.1,0.25,5,0.7366927017720668,0.05779716028387459,"(0.5, 0)-DP",0.5,0
66,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.25,10,0.7290501385739481,0.056978850102591176,"(0.5, 0)-DP",0.5,0
67,"DPOneRule(epsilon = 0.02500000, zeta = 0.00016797)",0.1,0.25,20,0.721222810111699,0.05266506769284583,"(0.5, 0)-DP",0.5,0
68,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.25,50,0.6759889140841523,0.1322811203471431,"(0.5, 0)-DP",0.5,0
69,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.25,100,0.6891576383639876,0.057613790644817725,"(0.5, 0)-DP",0.5,0
70,"DPOneRule(epsilon = 0.10000000, zeta = 0.00016797)",0.1,0.5,5,0.7454606533971614,0.04939235329702837,"(0.5, 0)-DP",0.5,0
71,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.5,10,0.7218442932728648,0.042981310800257945,"(0.5, 0)-DP",0.5,0
72,"DPOneRule(epsilon = 0.02500000, zeta = 0.00016797)",0.1,0.5,20,0.7629965566473503,0.020935159872422743,"(0.5, 0)-DP",0.5,0
73,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.5,50,0.6705971277399849,0.07734134031399305,"(0.5, 0)-DP",0.5,0
74,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.5,100,0.5907617367934828,0.05627344241927253,"(0.5, 0)-DP",0.5,0
75,"DPOneRule(epsilon = 0.10000000, zeta = 0.00016797)",0.1,0.75,5,0.7366759049298732,0.06103762142368079,"(0.5, 0)-DP",0.5,0
76,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.75,10,0.8233308138070043,0.019040211592194583,"(0.5, 0)-DP",0.5,0
77,"DPOneRule(epsilon = 0.02500000, zeta = 0.00016797)",0.1,0.75,20,0.7246661627614008,0.10442804419998408,"(0.5, 0)-DP",0.5,0
78,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.75,50,0.6982615268329553,0.08110766032310049,"(0.5, 0)-DP",0.5,0
79,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.75,100,0.5671285798269926,0.059700414873964394,"(0.5, 0)-DP",0.5,0
80,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.1,5,0.7366927017720668,0.05779716028387459,"(0.25, 0)-DP",0.25,0
81,"DPOneRule(epsilon = 0.02500000, zeta = 0.00016797)",0.1,0.1,10,0.7371798101956831,0.0582644081712213,"(0.25, 0)-DP",0.25,0
82,"DPOneRule(epsilon = 0.01250000, zeta = 0.00016797)",0.1,0.1,20,0.7122197026958931,0.05637901054640518,"(0.25, 0)-DP",0.25,0
83,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.1,50,0.6674393214075753,0.00611953937007194,"(0.25, 0)-DP",0.25,0
84,"DPOneRule(epsilon = 0.00250000, zeta = 0.00016797)",0.1,0.1,100,0.6366339128243891,0.050124985515296504,"(0.25, 0)-DP",0.25,0
85,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.25,5,0.7366927017720668,0.05779716028387459,"(0.25, 0)-DP",0.25,0
86,"DPOneRule(epsilon = 0.02500000, zeta = 0.00016797)",0.1,0.25,10,0.6510624002687495,0.1346418190642096,"(0.25, 0)-DP",0.25,0
87,"DPOneRule(epsilon = 0.01250000, zeta = 0.00016797)",0.1,0.25,20,0.6703787687914672,0.09536758876767247,"(0.25, 0)-DP",0.25,0
88,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.25,50,0.5515579071134626,0.09665537894514804,"(0.25, 0)-DP",0.25,0
89,"DPOneRule(epsilon = 0.00250000, zeta = 0.00016797)",0.1,0.25,100,0.5715629461661207,0.04075471234130072,"(0.25, 0)-DP",0.25,0
90,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.5,5,0.7482657260435038,0.049729223565827874,"(0.25, 0)-DP",0.25,0
91,"DPOneRule(epsilon = 0.02500000, zeta = 0.00016797)",0.1,0.5,10,0.7134458721760308,0.05385259882119392,"(0.25, 0)-DP",0.25,0
92,"DPOneRule(epsilon = 0.01250000, zeta = 0.00016797)",0.1,0.5,20,0.6763080540858318,0.04404263346646959,"(0.25, 0)-DP",0.25,0
93,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.5,50,0.6866885025615186,0.039125668758289565,"(0.25, 0)-DP",0.25,0
94,"DPOneRule(epsilon = 0.00250000, zeta = 0.00016797)",0.1,0.5,100,0.551238767111783,0.10584591915154078,"(0.25, 0)-DP",0.25,0
95,"DPOneRule(epsilon = 0.05000000, zeta = 0.00016797)",0.1,0.75,5,0.7266985806668347,0.07033691256478415,"(0.25, 0)-DP",0.25,0
96,"DPOneRule(epsilon = 0.02500000, zeta = 0.00016797)",0.1,0.75,10,0.7609473418997228,0.043934503201500615,"(0.25, 0)-DP",0.25,0
97,"DPOneRule(epsilon = 0.01250000, zeta = 0.00016797)",0.1,0.75,20,0.6404803896867388,0.07747956361817188,"(0.25, 0)-DP",0.25,0
98,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.75,50,0.5541110271269002,0.10837444940317527,"(0.25, 0)-DP",0.25,0
99,"DPOneRule(epsilon = 0.00250000, zeta = 0.00016797)",0.1,0.75,100,0.5546989166036786,0.07821265914680224,"(0.25, 0)-DP",0.25,0
100,"DPOneRule(epsilon = 0.02000000, zeta = 0.00016797)",0.1,0.1,5,0.7117493911144704,0.05568538006532071,"(0.1, 0)-DP",0.1,0
101,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.1,10,0.666750650877635,0.000309718466693335,"(0.1, 0)-DP",0.1,0
102,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.1,20,0.668363147728227,0.004189928432732037,"(0.1, 0)-DP",0.1,0
103,"DPOneRule(epsilon = 0.00200000, zeta = 0.00016797)",0.1,0.1,50,0.623347610649198,0.0700954463198727,"(0.1, 0)-DP",0.1,0
104,"DPOneRule(epsilon = 0.00100000, zeta = 0.00016797)",0.1,0.1,100,0.5772234819853868,0.11923848642458958,"(0.1, 0)-DP",0.1,0
105,"DPOneRule(epsilon = 0.02000000, zeta = 0.00016797)",0.1,0.25,5,0.7117493911144704,0.05568538006532071,"(0.1, 0)-DP",0.1,0
106,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.25,10,0.7095154111027127,0.053538848285501865,"(0.1, 0)-DP",0.1,0
107,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.25,20,0.6576467624086673,0.026517080663121965,"(0.1, 0)-DP",0.1,0
108,"DPOneRule(epsilon = 0.00200000, zeta = 0.00016797)",0.1,0.25,50,0.5917191567985218,0.03280894985779074,"(0.1, 0)-DP",0.1,0
109,"DPOneRule(epsilon = 0.00100000, zeta = 0.00016797)",0.1,0.25,100,0.5708742756361804,0.09195938379482392,"(0.1, 0)-DP",0.1,0
110,"DPOneRule(epsilon = 0.02000000, zeta = 0.00016797)",0.1,0.5,5,0.704090031074158,0.04520481186123472,"(0.1, 0)-DP",0.1,0
111,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.5,10,0.5938187620727303,0.11275921209482957,"(0.1, 0)-DP",0.1,0
112,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.5,20,0.5657344419249182,0.06767373303030053,"(0.1, 0)-DP",0.1,0
113,"DPOneRule(epsilon = 0.00200000, zeta = 0.00016797)",0.1,0.5,50,0.5709750566893425,0.08031091075028231,"(0.1, 0)-DP",0.1,0
114,"DPOneRule(epsilon = 0.00100000, zeta = 0.00016797)",0.1,0.5,100,0.47296548248929204,0.06753317826448679,"(0.1, 0)-DP",0.1,0
115,"DPOneRule(epsilon = 0.02000000, zeta = 0.00016797)",0.1,0.75,5,0.7385235575711766,0.043239933090092594,"(0.1, 0)-DP",0.1,0
116,"DPOneRule(epsilon = 0.01000000, zeta = 0.00016797)",0.1,0.75,10,0.5796590241034686,0.13672853432925136,"(0.1, 0)-DP",0.1,0
117,"DPOneRule(epsilon = 0.00500000, zeta = 0.00016797)",0.1,0.75,20,0.5406735533719661,0.07429504383563777,"(0.1, 0)-DP",0.1,0
118,"DPOneRule(epsilon = 0.00200000, zeta = 0.00016797)",0.1,0.75,50,0.5422524565381708,0.04126658363402374,"(0.1, 0)-DP",0.1,0
119,"DPOneRule(epsilon = 0.00100000, zeta = 0.00016797)",0.1,0.75,100,0.5241958511799781,0.0837534176614067,"(0.1, 0)-DP",0.1,0
120,"DPOneRule(epsilon = 0.40000000, zeta = 0.00008398)",0.2,0.1,5,0.7366927017720668,0.05779716028387459,"(2, 0)-DP",2.0,0
121,"DPOneRule(epsilon = 0.20000000, zeta = 0.00008398)",0.2,0.1,10,0.7366927017720668,0.05779716028387459,"(2, 0)-DP",2.0,0
122,"DPOneRule(epsilon = 0.10000000, zeta = 0.00008398)",0.2,0.1,20,0.7497102544721593,0.0521146601135953,"(2, 0)-DP",2.0,0
