,base_estimator,learning_rate,n_estimators,cv_score_avg,cv_score_std
0,OneRule(),0.1,5,0.7366927017720668,0.0007722895058417986
1,OneRule(),0.1,10,0.7366927017720668,0.0007722895058417986
2,OneRule(),0.1,15,0.7366927017720668,0.0007722895058417986
3,OneRule(),0.1,20,0.7497102544721592,0.001224442561088947
4,OneRule(),0.1,50,0.7964222726127488,0.02680830740104266
5,OneRule(),0.1,100,0.8364827412446459,0.0034558252722108026
6,OneRule(),0.25,5,0.7366927017720668,0.0007722895058417986
7,OneRule(),0.25,10,0.750835642899135,0.0012696901781449118
8,OneRule(),0.25,15,0.7535063408079281,0.0010340635909378282
9,OneRule(),0.25,20,0.8176366843033509,0.0025075159553896442
10,OneRule(),0.25,50,0.8421600739061056,0.003204016910817885
11,OneRule(),0.25,100,0.8686990845721004,0.004536578008758401
12,OneRule(),0.5,5,0.744318468127992,0.0019089372833022906
13,OneRule(),0.5,10,0.8049550684471318,0.01885190947756593
14,OneRule(),0.5,15,0.8171327790375409,0.00356259399466825
15,OneRule(),0.5,20,0.8158058285042411,0.0050984434340389006
16,OneRule(),0.5,50,0.822490971697321,0.0051808388742506685
17,OneRule(),0.5,100,0.822490971697321,0.0051808388742506685
18,OneRule(),0.75,5,0.744318468127992,0.0019089372833022906
19,OneRule(),0.75,10,0.8175191064079954,0.002196086750987852
20,OneRule(),0.75,15,0.8186612916771647,0.0007500500062741892
21,OneRule(),0.75,20,0.8260351054001847,0.002271365368191058
22,OneRule(),0.75,50,0.8260351054001847,0.002271365368191058
23,OneRule(),0.75,100,0.8260351054001847,0.002271365368191058
